policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported_bin,incident_month,incident_dayofweek,claim_to_premium_ratio
GA,800,634.0,75,OTHER,High School,Engineer,paintball,Multi-vehicle Collision,Rear,Major Damage,Fire,GA,6,2,3,4,No,3100.65,2587.12,0,1,0,4.890615141955836
GA,400,1260.39,66,FEMALE,High School,Lawyer,movies,Multi-vehicle Collision,Front,Major Damage,Fire,NY,19,4,0,2,Yes,22920.05,20770.55,0,6,1,18.184887217448566
MI,600,1434.52,30,MALE,Masters,Technician,chess,Single Vehicle Collision,Rear,Minor Damage,None,MI,21,2,3,0,Yes,15335.46,23303.11,0,1,2,10.690307559322978
TX,700,1329.06,35,FEMALE,PhD,Manager,yachting,Multi-vehicle Collision,Unknown,Total Loss,Fire,OH,12,1,2,5,No,5739.56,7526.2,0,3,3,4.31851082720118
FL,400,1009.01,54,OTHER,College,Manager,chess,Multi-vehicle Collision,Side,Major Damage,Fire,OH,3,1,3,4,No,24354.16,22114.92,0,2,0,24.136688437181
CA,1000,850.73,44,FEMALE,Masters,Technician,reading,Parked Car,Side,Major Damage,Police,FL,21,2,0,1,No,5186.48,9399.79,0,9,2,6.096505354225195
TX,400,995.78,71,FEMALE,PhD,Sales,reading,Parked Car,Rear,Total Loss,Ambulance,FL,3,4,1,3,Yes,6551.67,10704.78,0,1,1,6.579435216614112
NY,400,954.04,40,FEMALE,PhD,Lawyer,hiking,Single Vehicle Collision,Front,Major Damage,Ambulance,MI,22,4,0,5,No,5236.78,5117.5,0,5,0,5.489057062596956
OH,800,1232.61,61,FEMALE,College,Engineer,camping,Multi-vehicle Collision,Side,Major Damage,None,OH,8,1,4,5,Yes,23184.66,24000.58,0,8,5,18.809404434492663
NY,1000,793.87,37,OTHER,Masters,Doctor,chess,Single Vehicle Collision,Front,Major Damage,Fire,GA,3,4,3,2,No,5597.16,6281.51,0,7,0,7.050474259009661
FL,800,823.16,34,MALE,PhD,Lawyer,yachting,Parked Car,Rear,Total Loss,None,NY,11,4,1,4,Yes,13544.54,14355.74,1,3,3,16.454322367461977
MI,500,862.32,74,MALE,High School,Manager,hiking,Vehicle Theft,Front,Major Damage,Fire,FL,0,2,3,4,Yes,8855.64,7812.37,0,8,3,10.26955190648483
OH,700,1257.48,36,MALE,High School,Lawyer,camping,Multi-vehicle Collision,Side,Minor Damage,None,TX,12,1,2,0,Yes,15210.9,20897.64,0,3,5,12.096335528199255
FL,300,791.67,69,MALE,Masters,Lawyer,yachting,Single Vehicle Collision,Front,Minor Damage,Fire,FL,12,1,1,5,No,17258.92,16402.53,0,10,1,21.800649260424166
MI,600,1277.59,48,MALE,Masters,Teacher,movies,Parked Car,Front,Total Loss,Police,MI,17,1,4,3,No,12201.78,10944.6,0,12,5,9.550622656720858
PA,1000,1467.71,56,OTHER,High School,Engineer,hiking,Vehicle Theft,Rear,Major Damage,Police,NC,17,1,0,0,No,8353.3,9603.27,0,9,0,5.691383175150404
OH,500,1359.89,19,MALE,PhD,Clerk,hiking,Single Vehicle Collision,Side,Major Damage,Police,NC,22,3,0,1,No,15483.38,24744.74,0,6,1,11.385759142283566
GA,200,936.15,65,MALE,Masters,Sales,reading,Vehicle Theft,Front,Total Loss,Ambulance,NY,9,4,3,4,No,13185.25,16823.59,0,8,1,14.084548416386264
OH,200,714.43,28,FEMALE,PhD,Teacher,hiking,Vehicle Theft,Rear,Major Damage,Police,CA,8,3,1,1,No,19649.1,21365.58,1,1,6,27.503184356759935
CA,600,1114.46,25,FEMALE,High School,Technician,camping,Single Vehicle Collision,Rear,Minor Damage,None,OH,15,3,1,0,No,11112.34,21550.0,0,1,5,9.971053245518009
IL,700,638.59,55,OTHER,High School,Manager,yachting,Multi-vehicle Collision,Side,Major Damage,Ambulance,NY,13,4,0,5,Yes,12656.03,17523.64,0,2,6,19.818709970403546
PA,500,1358.89,44,MALE,Masters,Lawyer,movies,Single Vehicle Collision,Front,Major Damage,Fire,NC,5,1,0,2,No,20161.98,23395.88,0,12,6,14.837094981933783
IL,400,818.03,53,MALE,PhD,Teacher,reading,Single Vehicle Collision,Front,Total Loss,Fire,MI,10,2,0,1,Yes,8989.77,8690.59,0,7,1,10.989535836094031
FL,400,762.92,32,OTHER,College,Engineer,movies,Multi-vehicle Collision,Front,Major Damage,Fire,MI,18,4,2,4,No,4865.79,5200.56,0,2,6,6.37785088869082
FL,200,877.19,48,MALE,College,Lawyer,camping,Single Vehicle Collision,Rear,Total Loss,None,OH,13,2,3,0,No,23708.52,21684.59,1,9,4,27.02780469453596
CA,700,1207.76,73,FEMALE,College,Clerk,chess,Multi-vehicle Collision,Side,Minor Damage,Police,TX,9,2,1,3,No,11107.46,21397.56,0,1,3,9.196744386301914
TX,500,998.5,29,OTHER,PhD,Sales,yachting,Parked Car,Front,Total Loss,None,IL,8,4,4,0,No,4515.23,4649.8,1,6,0,4.522013019529293
CA,600,853.47,52,OTHER,Masters,Doctor,movies,Vehicle Theft,Unknown,Total Loss,None,OH,16,2,4,1,Yes,6696.12,6414.39,0,6,3,7.84575907764772
PA,500,689.07,39,FEMALE,Masters,Doctor,yachting,Vehicle Theft,Side,Total Loss,Police,NC,5,3,3,5,Yes,15751.72,24439.69,0,1,3,22.8593901925784
CA,400,1124.21,28,FEMALE,High School,Lawyer,hiking,Parked Car,Front,Minor Damage,Fire,PA,7,1,3,4,Yes,18668.58,19442.13,0,8,0,16.605954403536707
PA,400,644.74,62,OTHER,PhD,Clerk,hiking,Single Vehicle Collision,Side,Total Loss,None,IL,5,3,2,1,No,2109.06,3101.15,0,9,5,3.2711790799392
PA,700,953.39,72,MALE,College,Technician,paintball,Parked Car,Unknown,Total Loss,None,PA,2,4,0,4,No,9759.26,14620.18,1,12,0,10.236377557977324
TX,600,904.57,50,FEMALE,Masters,Manager,yachting,Single Vehicle Collision,Rear,Major Damage,None,IL,21,1,3,3,No,25656.21,23385.74,0,1,5,28.36287960025205
OH,500,1235.52,20,OTHER,PhD,Doctor,yachting,Multi-vehicle Collision,Rear,Total Loss,Fire,IL,4,4,0,5,No,17343.43,20425.42,0,3,2,14.037352693602694
OH,700,1493.08,40,OTHER,Masters,Doctor,hiking,Vehicle Theft,Front,Major Damage,Fire,IL,8,1,1,0,Yes,17623.84,19998.64,0,4,3,11.803680981595093
GA,300,1470.1,40,MALE,PhD,Clerk,camping,Multi-vehicle Collision,Unknown,Minor Damage,None,IL,5,4,4,5,No,9559.17,14900.54,0,2,2,6.50239439493912
FL,300,642.54,71,MALE,High School,Engineer,hiking,Parked Car,Front,Major Damage,None,CA,0,4,0,5,No,573.01,574.78,1,5,0,0.8917888380489931
MI,800,1141.88,54,OTHER,College,Manager,paintball,Single Vehicle Collision,Front,Minor Damage,Ambulance,PA,11,1,1,5,Yes,13947.11,22359.84,0,11,4,12.214164360528251
NY,800,695.66,59,MALE,College,Manager,camping,Parked Car,Front,Total Loss,Police,OH,22,4,3,0,No,5791.35,6758.86,0,1,4,8.324971969065349
NY,1000,858.7,21,OTHER,PhD,Teacher,paintball,Single Vehicle Collision,Unknown,Major Damage,Ambulance,GA,12,4,0,4,No,8493.67,14299.84,0,6,0,9.89131244905089
IL,700,643.29,21,OTHER,PhD,Technician,camping,Parked Car,Unknown,Minor Damage,Fire,FL,6,4,2,3,Yes,3644.79,6352.93,0,10,2,5.665858322063144
IL,1000,1232.81,32,OTHER,Masters,Teacher,chess,Single Vehicle Collision,Rear,Minor Damage,None,GA,21,2,3,1,No,18345.28,15557.68,0,7,3,14.880865664619852
TX,1000,870.57,45,FEMALE,College,Technician,paintball,Single Vehicle Collision,Rear,Major Damage,None,PA,11,1,3,5,Yes,26057.56,24211.89,0,6,0,29.931608026924888
NC,600,1230.91,43,OTHER,High School,Doctor,paintball,Parked Car,Front,Total Loss,Fire,NC,18,2,4,4,No,6775.18,7030.24,0,5,3,5.504204206643865
IL,1000,1107.49,50,FEMALE,High School,Sales,yachting,Multi-vehicle Collision,Rear,Minor Damage,Police,MI,20,1,4,2,Yes,1055.48,889.5,0,2,3,0.9530379506812703
NC,800,964.67,57,OTHER,Masters,Technician,paintball,Multi-vehicle Collision,Side,Minor Damage,Fire,NC,3,1,4,4,No,9308.13,8200.33,0,8,1,9.64903023831984
PA,300,1329.02,33,OTHER,Masters,Teacher,chess,Multi-vehicle Collision,Side,Minor Damage,Police,TX,20,4,1,2,Yes,11824.96,21875.96,0,6,1,8.897503423575266
CA,800,967.36,56,MALE,High School,Lawyer,yachting,Single Vehicle Collision,Rear,Minor Damage,Ambulance,NY,3,3,0,5,Yes,11190.32,16483.76,0,12,6,11.56789612967251
TX,400,1204.67,33,MALE,Masters,Lawyer,movies,Parked Car,Front,Minor Damage,Police,CA,2,4,3,5,No,2638.17,4743.52,0,6,1,2.1899524351067097
GA,300,1366.97,72,OTHER,Masters,Engineer,hiking,Single Vehicle Collision,Rear,Total Loss,Ambulance,CA,12,1,0,5,Yes,6417.5,7399.03,0,9,0,4.694689715209551
GA,600,1251.25,20,OTHER,College,Doctor,reading,Multi-vehicle Collision,Unknown,Total Loss,Ambulance,TX,17,1,0,3,Yes,10979.26,10995.14,1,11,0,8.774633366633367
OH,300,816.28,60,MALE,High School,Doctor,chess,Single Vehicle Collision,Rear,Major Damage,Ambulance,GA,6,1,3,5,Yes,2628.79,3631.15,0,1,5,3.2204513157249965
NY,1000,647.78,56,MALE,Masters,Technician,reading,Multi-vehicle Collision,Side,Major Damage,None,GA,7,2,1,5,No,7304.63,11871.59,0,5,3,11.276405569792214
GA,400,1333.65,21,OTHER,Masters,Lawyer,camping,Single Vehicle Collision,Side,Major Damage,None,NY,22,4,4,2,Yes,7442.76,14800.49,0,1,0,5.580744573163873
OH,600,995.05,44,OTHER,PhD,Lawyer,hiking,Single Vehicle Collision,Front,Minor Damage,Police,MI,17,3,2,0,Yes,3335.46,4192.63,1,1,6,3.3520526606703185
NY,700,690.43,71,FEMALE,College,Teacher,hiking,Parked Car,Rear,Major Damage,Fire,GA,2,3,2,3,Yes,18554.13,17309.76,0,5,1,26.873296351549037
PA,300,954.36,66,FEMALE,Masters,Lawyer,hiking,Parked Car,Unknown,Major Damage,Ambulance,TX,14,3,0,5,Yes,3743.77,3839.32,0,10,2,3.9228069072467413
MI,300,914.66,42,MALE,PhD,Engineer,chess,Vehicle Theft,Front,Major Damage,Fire,CA,17,4,0,0,No,10450.1,14121.89,0,7,6,11.425119716616011
GA,200,872.39,56,OTHER,College,Lawyer,movies,Multi-vehicle Collision,Side,Total Loss,Ambulance,GA,15,3,2,3,No,10393.83,13952.76,0,10,4,11.914201217345454
CA,200,830.51,45,MALE,College,Technician,camping,Vehicle Theft,Rear,Total Loss,Ambulance,PA,21,2,4,4,Yes,17239.85,20730.85,0,3,5,20.75814860748215
FL,200,1082.13,46,MALE,Masters,Technician,hiking,Parked Car,Unknown,Major Damage,Fire,NY,16,2,0,1,Yes,16026.19,13981.66,0,5,6,14.809856486743735
IL,200,1003.22,58,FEMALE,PhD,Lawyer,yachting,Parked Car,Front,Major Damage,Ambulance,MI,20,1,0,4,Yes,16436.13,15290.2,0,10,0,16.383375530790854
NY,800,1143.74,56,MALE,College,Lawyer,camping,Single Vehicle Collision,Rear,Minor Damage,Police,OH,22,1,0,2,No,16696.17,17634.53,0,4,2,14.597871893961912
TX,800,707.92,50,OTHER,High School,Doctor,movies,Multi-vehicle Collision,Unknown,Major Damage,Police,NY,10,4,2,2,No,6814.39,6264.61,0,9,1,9.625932308735452
GA,200,1474.6,45,FEMALE,PhD,Manager,chess,Vehicle Theft,Rear,Total Loss,None,GA,2,1,4,2,Yes,9744.55,17936.77,0,7,5,6.608266648582666
TX,200,1019.61,37,OTHER,Masters,Technician,yachting,Vehicle Theft,Unknown,Total Loss,Fire,NC,3,3,0,0,No,911.17,924.05,1,2,1,0.8936456095958258
GA,400,1254.35,45,MALE,High School,Clerk,hiking,Single Vehicle Collision,Front,Total Loss,Ambulance,NC,8,3,3,0,No,10980.57,13469.03,1,5,6,8.753992107466019
TX,500,637.53,73,OTHER,High School,Engineer,reading,Vehicle Theft,Unknown,Total Loss,Fire,MI,2,1,1,3,Yes,1494.2,2441.68,0,4,0,2.343732843944599
CA,300,1486.3,19,MALE,High School,Teacher,movies,Single Vehicle Collision,Front,Total Loss,None,OH,9,2,0,5,Yes,11755.97,9952.32,1,7,1,7.9095539258561525
PA,500,848.14,23,FEMALE,PhD,Teacher,paintball,Parked Car,Rear,Major Damage,Fire,CA,2,2,0,0,Yes,11876.35,20050.19,0,7,5,14.002817931001958
TX,400,1291.21,18,MALE,PhD,Sales,yachting,Vehicle Theft,Side,Minor Damage,Fire,NY,9,1,4,4,Yes,28031.9,23532.72,0,10,6,21.709791590833404
MI,600,1498.39,35,MALE,Masters,Clerk,paintball,Single Vehicle Collision,Rear,Minor Damage,Police,IL,8,3,1,0,No,7285.46,10207.43,0,7,6,4.862192086172492
PA,800,965.68,28,FEMALE,College,Doctor,reading,Vehicle Theft,Front,Major Damage,Fire,MI,2,3,3,1,No,10984.27,10969.09,0,9,1,11.374647916494078
TX,800,1434.82,65,FEMALE,Masters,Manager,movies,Vehicle Theft,Front,Total Loss,Fire,MI,14,1,3,4,Yes,15117.66,16987.5,1,11,5,10.536276327344197
CA,600,1486.19,38,FEMALE,College,Sales,movies,Single Vehicle Collision,Unknown,Total Loss,Fire,GA,13,2,0,4,No,17817.09,14992.14,1,2,5,11.988433511193051
GA,400,1110.0,34,MALE,High School,Lawyer,camping,Vehicle Theft,Side,Major Damage,Fire,TX,22,4,1,0,No,12482.68,20660.1,1,7,4,11.245657657657658
NY,200,1216.94,25,FEMALE,High School,Manager,hiking,Parked Car,Rear,Minor Damage,Fire,GA,17,3,1,2,Yes,14865.83,16190.38,0,1,2,12.215746051571974
PA,600,1165.3,59,OTHER,High School,Teacher,chess,Single Vehicle Collision,Side,Major Damage,Ambulance,PA,1,1,0,0,Yes,16019.76,15632.73,0,10,6,13.747326868617524
NC,1000,875.46,50,FEMALE,College,Sales,paintball,Single Vehicle Collision,Front,Minor Damage,Fire,PA,17,2,4,4,Yes,14582.5,16941.74,0,7,4,16.656957485207776
CA,400,652.56,57,OTHER,College,Manager,movies,Vehicle Theft,Rear,Total Loss,None,PA,2,4,2,0,No,22889.37,21824.58,1,12,1,35.07626884884149
TX,800,959.61,54,FEMALE,PhD,Technician,chess,Single Vehicle Collision,Front,Major Damage,Fire,OH,13,2,4,4,No,5879.66,6993.8,0,12,4,6.127134981919738
TX,700,1027.35,28,MALE,High School,Technician,reading,Parked Car,Front,Major Damage,Fire,IL,23,1,2,4,Yes,7353.76,7150.81,0,6,6,7.1579890008273725
IL,700,847.82,44,MALE,High School,Technician,camping,Parked Car,Side,Minor Damage,None,TX,5,1,3,3,Yes,21042.47,21521.31,1,9,1,24.81950178103843
NY,500,1064.33,22,MALE,Masters,Manager,yachting,Single Vehicle Collision,Front,Minor Damage,Fire,NY,3,4,4,2,Yes,7264.16,7176.75,0,8,4,6.825101237398176
PA,1000,1298.7,60,MALE,PhD,Teacher,paintball,Parked Car,Unknown,Minor Damage,Ambulance,NC,21,4,0,0,No,8526.2,13122.44,0,10,5,6.565180565180565
OH,400,1291.64,61,OTHER,PhD,Lawyer,reading,Multi-vehicle Collision,Side,Minor Damage,Police,GA,8,4,2,5,Yes,5555.9,9048.76,0,10,5,4.30143073921526
IL,700,1008.87,37,MALE,College,Doctor,yachting,Multi-vehicle Collision,Front,Minor Damage,None,FL,16,3,2,2,Yes,4082.59,7397.25,0,7,2,4.046695808181431
NY,700,1370.98,24,MALE,Masters,Teacher,yachting,Parked Car,Front,Minor Damage,Police,IL,13,1,2,0,Yes,1273.74,1461.84,0,12,6,0.9290726341740945
CA,700,827.51,37,FEMALE,PhD,Manager,paintball,Parked Car,Unknown,Minor Damage,None,NY,4,2,3,2,No,3564.95,3922.89,1,7,0,4.308044615775036
CA,600,873.35,54,OTHER,College,Doctor,reading,Parked Car,Side,Major Damage,Ambulance,MI,0,3,3,2,No,7576.92,14597.43,0,6,5,8.67569702868266
PA,500,721.33,25,MALE,College,Manager,yachting,Multi-vehicle Collision,Side,Total Loss,Police,NY,3,4,4,4,Yes,5419.62,7198.84,0,10,5,7.513371133877698
NY,500,673.29,67,OTHER,Masters,Sales,hiking,Multi-vehicle Collision,Front,Minor Damage,Police,NY,14,4,4,5,Yes,24361.3,21589.92,0,1,2,36.182477090109764
IL,300,1192.16,40,MALE,High School,Engineer,movies,Parked Car,Rear,Minor Damage,None,FL,21,4,0,1,Yes,20319.37,21585.85,1,11,4,17.044163535095958
NY,500,1302.64,68,OTHER,College,Lawyer,chess,Multi-vehicle Collision,Rear,Minor Damage,Police,TX,14,4,4,4,No,7241.34,10174.43,0,1,0,5.558972548056254
NC,500,786.94,35,FEMALE,High School,Teacher,reading,Multi-vehicle Collision,Front,Total Loss,None,MI,11,4,4,4,No,17306.55,15879.71,0,4,0,21.99221033369761
FL,200,759.34,56,MALE,Masters,Technician,camping,Parked Car,Rear,Minor Damage,Ambulance,NC,23,2,4,5,No,20751.81,17887.87,1,1,0,27.328746016277293
CA,1000,1070.74,46,OTHER,Masters,Clerk,yachting,Multi-vehicle Collision,Rear,Total Loss,Police,NY,14,3,3,2,No,2002.32,2917.15,0,8,6,1.8700338083941945
MI,800,1073.58,56,OTHER,High School,Technician,hiking,Parked Car,Front,Total Loss,Ambulance,GA,1,4,1,2,Yes,12644.97,12538.19,0,10,5,11.778321131168614
NC,600,1223.4,41,OTHER,College,Teacher,yachting,Multi-vehicle Collision,Unknown,Minor Damage,Ambulance,MI,18,3,3,4,No,2382.54,4499.82,0,1,4,1.9474742520843549
PA,200,1489.33,23,MALE,High School,Sales,camping,Single Vehicle Collision,Front,Total Loss,Ambulance,NY,3,4,2,4,Yes,6063.85,5851.18,1,8,3,4.071528808256062
OH,500,669.42,56,OTHER,High School,Lawyer,paintball,Parked Car,Front,Minor Damage,Police,GA,1,2,2,1,Yes,11005.26,10613.56,0,10,0,16.439992829613697
FL,500,1002.81,58,OTHER,Masters,Technician,hiking,Multi-vehicle Collision,Rear,Major Damage,Ambulance,PA,19,3,1,1,Yes,14698.9,17555.28,0,1,4,14.65771182975838
CA,700,798.81,65,FEMALE,Masters,Manager,reading,Parked Car,Rear,Major Damage,Police,OH,4,1,1,5,No,21853.07,20598.21,0,5,3,27.35703108373706
PA,600,1325.84,46,MALE,College,Engineer,chess,Vehicle Theft,Front,Major Damage,Ambulance,PA,1,3,4,5,Yes,18054.46,23713.2,0,11,4,13.617374645507754
OH,400,605.46,37,MALE,Masters,Lawyer,chess,Multi-vehicle Collision,Rear,Total Loss,Ambulance,PA,18,1,3,4,Yes,1563.24,1310.34,0,7,5,2.5819046675255177
NC,500,1238.7,34,MALE,PhD,Manager,chess,Parked Car,Front,Major Damage,Fire,NC,23,4,3,1,Yes,1217.75,1563.22,0,1,5,0.9830871074513603
FL,700,1078.96,32,FEMALE,High School,Doctor,yachting,Multi-vehicle Collision,Unknown,Minor Damage,Police,CA,8,4,0,2,Yes,5627.0,8284.47,0,5,2,5.215207236598205
FL,300,690.49,67,OTHER,College,Lawyer,movies,Multi-vehicle Collision,Rear,Minor Damage,None,TX,1,2,0,1,No,3773.47,4954.57,0,7,3,5.464916218917001
NC,800,663.53,39,OTHER,High School,Sales,hiking,Single Vehicle Collision,Rear,Total Loss,Ambulance,IL,0,3,0,1,No,2689.81,4619.55,0,1,5,4.053788072882914
TX,700,659.65,49,FEMALE,Masters,Doctor,movies,Single Vehicle Collision,Rear,Total Loss,Ambulance,GA,13,3,0,0,No,15452.64,23613.87,0,2,3,23.425513529902222
IL,300,1029.02,71,FEMALE,High School,Teacher,movies,Vehicle Theft,Front,Major Damage,Fire,NC,2,4,3,0,No,11648.66,15758.55,0,5,6,11.320149268235797
TX,1000,1319.84,20,OTHER,PhD,Sales,paintball,Vehicle Theft,Rear,Minor Damage,Ambulance,TX,0,4,0,5,No,16914.37,24595.55,0,2,1,12.815470056976602
CA,300,1017.21,27,OTHER,PhD,Technician,hiking,Single Vehicle Collision,Unknown,Major Damage,Ambulance,FL,9,1,1,0,Yes,20077.7,21700.93,0,8,4,19.738008867392182
TX,300,669.92,21,FEMALE,Masters,Technician,hiking,Vehicle Theft,Side,Minor Damage,Fire,GA,21,2,1,4,Yes,10790.89,16591.36,0,6,6,16.107729281108192
NY,200,955.74,22,OTHER,College,Lawyer,paintball,Single Vehicle Collision,Unknown,Major Damage,Fire,FL,0,2,0,1,No,1576.69,1995.86,0,7,3,1.6497059869839077
FL,800,930.9,74,FEMALE,High School,Lawyer,paintball,Parked Car,Rear,Major Damage,None,NY,9,3,0,4,Yes,11851.78,14482.02,0,1,3,12.731528628209261
GA,500,749.34,52,MALE,PhD,Lawyer,hiking,Multi-vehicle Collision,Unknown,Total Loss,Police,PA,0,2,3,4,Yes,12566.46,15823.87,0,10,1,16.77003763311714
FL,600,1170.09,27,MALE,College,Engineer,movies,Single Vehicle Collision,Unknown,Total Loss,None,GA,3,1,1,3,No,8978.61,17922.55,0,9,0,7.673435376765891
